motivacion,relajacion,satisfaccion,aprendizaje,estres,ayuda,seguridad,actividad_fisica,amistad_familia,gratitud,pasatiempos,inspiracion,reflexion,comunicacion,creatividad,total
4,1,0,4,4,2,0,0,1,4,2,2,2,0,0,29
0,2,1,4,1,0,1,2,1,1,0,2,1,1,4,29
1,2,0,4,1,0,2,0,0,4,4,0,0,0,1,20
1,0,0,1,0,4,2,0,2,0,4,0,4,1,2,26
4,0,0,0,4,4,1,1,0,0,2,4,0,2,0,27
4,4,0,0,4,1,4,0,2,0,0,0,4,1,4,29
4,2,4,1,0,1,4,1,0,0,1,2,4,2,4,42
2,2,1,0,4,1,0,0,4,2,0,4,0,2,0,27
2,0,0,1,2,0,1,4,0,4,2,4,1,0,0,28
1,1,0,4,2,0,0,4,4,2,2,1,0,2,4,29
0,4,4,0,0,0,4,0,0,4,0,4,0,4,0,24
1,1,0,0,0,1,2,4,4,0,1,0,2,0,0,19
4,0,2,4,1,0,0,0,4,4,0,0,2,0,0,22
1,0,0,0,4,2,1,0,1,1,1,0,0,2,1,20
1,1,0,0,0,4,1,4,1,4,2,0,0,2,0,24
0,0,4,4,4,0,0,0,1,4,2,1,0,0,4,26
0,2,4,0,4,2,2,0,0,2,0,2,1,1,0,27
2,4,0,2,4,4,4,0,4,1,0,0,1,0,0,28
2,0,1,1,4,4,1,4,2,0,1,1,0,4,2,41
1,0,1,4,0,0,1,0,1,4,1,0,1,0,0,20
4,0,4,0,0,0,2,1,0,0,2,0,0,0,2,14
0,1,2,1,2,2,1,0,4,0,4,2,1,0,4,29
0,2,1,4,0,0,0,2,0,2,0,0,1,1,0,17
0,4,1,0,4,2,2,1,2,2,0,0,4,1,1,29
1,1,4,0,0,2,2,4,0,2,0,2,2,0,4,29
4,4,0,4,1,0,0,1,0,4,4,4,1,4,2,41
1,0,1,4,2,1,2,1,1,4,2,1,4,1,2,42
2,4,1,0,4,2,0,0,4,0,0,0,4,1,4,40
4,0,4,1,4,0,4,1,2,4,0,0,0,1,0,27
1,0,0,0,4,0,4,0,0,4,0,4,4,4,4,28
4,2,4,4,2,0,2,1,0,2,0,2,1,2,0,40
0,2,4,0,4,2,1,0,2,2,2,0,0,4,0,29
1,0,1,2,0,4,0,4,0,0,0,1,4,1,2,21
1,0,0,0,0,2,0,0,0,1,4,2,0,1,1,17
1,0,4,2,1,2,2,2,0,0,2,0,0,0,4,24
0,1,4,2,0,2,0,0,1,1,1,0,1,0,0,18
0,2,4,0,0,0,4,2,1,0,0,1,1,1,0,20
1,2,1,2,2,2,4,0,0,2,0,1,0,4,4,40
2,0,0,4,1,4,2,0,0,4,0,0,1,4,0,22
2,2,4,1,4,0,2,4,1,4,4,1,1,0,0,41
2,4,4,2,4,4,2,2,1,4,0,0,2,0,0,41
4,0,1,1,4,2,1,1,2,2,2,1,2,0,0,28
0,2,1,4,0,1,0,1,4,1,0,0,0,2,4,24
0,1,0,2,0,0,4,4,1,2,0,2,4,1,2,26
0,2,4,2,0,0,0,0,0,0,1,1,2,0,0,17
1,4,1,4,0,1,0,1,2,4,1,4,1,0,1,29
4,4,1,4,2,1,2,0,4,0,4,2,2,1,2,47
0,0,2,1,2,0,4,4,0,0,4,0,1,0,0,20
0,1,0,1,2,0,0,0,4,2,2,0,0,0,2,17
