motivacion,relajacion,satisfaccion,aprendizaje,estres,ayuda,seguridad,actividad_fisica,amistad_familia,gratitud,pasatiempos,inspiracion,reflexion,comunicacion,creatividad,total
4,1,0,4,4,2,0,0,1,4,2,2,2,0,0,26
0,2,1,4,1,0,1,2,1,1,0,2,1,1,4,21
1,2,0,4,1,0,2,0,0,4,4,0,0,0,1,19
1,0,0,1,0,4,2,0,2,0,4,0,4,1,2,21
4,0,0,0,4,4,1,1,0,0,2,4,0,2,0,22
4,4,0,0,4,1,4,0,2,0,0,0,4,1,4,28
4,2,4,1,0,1,4,1,0,0,1,2,4,2,4,30
2,2,1,0,4,1,0,0,4,2,0,4,0,2,0,22
2,0,0,1,2,0,1,4,0,4,2,4,1,0,0,21
1,1,0,4,2,0,0,4,4,2,2,1,0,2,4,27
0,4,4,0,0,0,4,0,0,4,0,4,0,4,0,24
1,1,0,0,0,1,2,4,4,0,1,0,2,0,0,16
4,0,2,4,1,0,0,0,4,4,0,0,2,0,0,21
1,0,0,0,4,2,1,0,1,1,1,0,0,2,1,14
1,1,0,0,0,4,1,4,1,4,2,0,0,2,0,20
0,0,4,4,4,0,0,0,1,4,2,1,0,0,4,24
0,2,4,0,4,2,2,0,0,2,0,2,1,1,0,20
2,4,0,2,4,4,4,0,4,1,0,0,1,0,0,26
2,0,1,1,4,4,1,4,2,0,1,1,0,4,2,27
1,0,1,4,0,0,1,0,1,4,1,0,1,0,0,14
4,0,4,0,0,0,2,1,0,0,2,0,0,0,2,15
0,1,2,1,2,2,1,0,4,0,4,2,1,0,4,24
0,2,1,4,0,0,0,2,0,2,0,0,1,1,0,13
0,4,1,0,4,2,2,1,2,2,0,0,4,1,1,24
1,1,4,0,0,2,2,4,0,2,0,2,2,0,4,24
4,4,0,4,1,0,0,1,0,4,4,4,1,4,2,33
1,0,1,4,2,1,2,1,1,4,2,1,4,1,2,27
2,4,1,0,4,2,0,0,4,0,0,0,4,1,4,26
4,0,4,1,4,0,4,1,2,4,0,0,0,1,0,25
1,0,0,0,4,0,4,0,0,4,0,4,4,4,4,29
4,2,4,4,2,0,2,1,0,2,0,2,1,2,0,26
0,2,4,0,4,2,1,0,2,2,2,0,0,4,0,23
1,0,1,2,0,4,0,4,0,0,0,1,4,1,2,20
1,0,0,0,0,2,0,0,0,1,4,2,0,1,1,12
1,0,4,2,1,2,2,2,0,0,2,0,0,0,4,20
0,1,4,2,0,2,0,0,1,1,1,0,1,0,0,13
0,2,4,0,0,0,4,2,1,0,0,1,1,1,0,16
1,2,1,2,2,2,4,0,0,2,0,1,0,4,4,25
2,0,0,4,1,4,2,0,0,4,0,0,1,4,0,22
2,2,4,1,4,0,2,4,1,4,4,1,1,0,0,30
2,4,4,2,4,4,2,2,1,4,0,0,2,0,0,31
4,0,1,1,4,2,1,1,2,2,2,1,2,0,0,23
0,2,1,4,0,1,0,1,4,1,0,0,0,2,4,20
0,1,0,2,0,0,4,4,1,2,0,2,4,1,2,23
0,2,4,2,0,0,0,0,0,0,1,1,2,0,0,12
1,4,1,4,0,1,0,1,2,4,1,4,1,0,1,25
4,4,1,4,2,1,2,0,4,0,4,2,2,1,2,33
0,0,2,1,2,0,4,4,0,0,4,0,1,0,0,18
0,1,0,1,2,0,0,0,4,2,2,0,0,0,2,14
4,1,2,0,4,1,2,0,0,2,1,1,1,0,0,19
0,4,2,2,2,2,4,4,4,4,4,1,2,2,0,37
1,1,0,1,1,2,0,4,4,0,0,0,4,1,1,20
2,0,2,0,1,0,0,2,4,0,2,4,4,0,0,21
0,0,1,4,1,4,1,0,4,4,0,4,1,0,2,26
0,0,0,0,2,1,0,4,0,4,0,0,4,1,1,17
2,2,1,4,0,0,0,1,0,1,1,4,0,0,1,17
0,4,0,2,4,0,2,4,4,0,1,2,2,2,0,27
0,4,2,0,2,1,1,2,0,2,0,2,1,0,4,21
0,4,0,0,0,1,0,1,0,2,0,0,0,0,0,8
1,0,1,2,4,0,0,0,0,0,4,2,4,0,0,18
0,1,1,1,4,0,2,0,2,0,2,2,0,1,1,17
0,2,0,4,1,0,0,0,4,0,2,4,2,0,0,19
2,0,0,1,4,0,4,1,1,1,0,1,1,0,1,17
0,4,0,1,4,4,4,0,2,0,4,0,0,1,0,24
4,2,2,4,0,0,0,1,1,2,2,2,2,0,4,26
0,2,0,4,0,0,0,4,0,4,0,2,4,4,1,25
1,1,4,1,4,0,1,1,2,4,0,1,2,2,0,24
0,4,1,4,0,1,4,0,2,2,2,1,1,1,4,27
2,0,0,0,1,1,0,2,1,2,0,0,4,0,2,15
1,1,1,0,4,0,4,1,1,0,4,4,4,4,2,31
1,0,4,4,1,0,0,4,0,4,2,2,1,4,2,29
4,0,1,4,4,0,1,1,4,4,0,2,1,1,1,28
2,4,0,2,2,2,0,0,4,2,4,0,1,1,0,24
0,4,1,0,1,0,0,1,0,4,2,1,0,2,0,16
0,0,1,2,1,1,1,0,0,0,4,2,4,4,0,20
0,0,0,0,0,1,0,0,0,1,2,0,0,4,4,12
0,1,0,2,4,4,0,2,4,0,0,2,0,1,0,20
0,4,1,2,0,2,4,4,0,4,4,0,4,1,2,32
0,0,4,0,4,1,4,0,0,4,0,2,0,4,1,24
4,2,4,2,0,1,1,1,0,2,0,1,2,0,4,24
1,1,0,1,2,1,0,0,4,4,0,1,0,1,0,16
1,4,4,1,2,1,0,2,1,4,1,0,4,0,2,27
0,1,1,4,0,0,4,1,4,1,0,1,2,1,0,20
2,4,2,2,0,0,2,0,4,1,2,4,0,1,0,24
1,4,2,2,4,1,1,0,0,2,0,0,0,2,0,19
4,4,4,0,0,1,2,1,0,0,2,0,0,0,4,22
0,1,4,4,2,0,4,1,2,1,1,1,4,0,1,26
1,2,0,0,0,2,1,4,0,0,2,0,1,4,0,17
0,1,2,4,0,2,0,1,0,1,0,2,0,1,4,18
1,4,0,1,4,2,2,2,1,0,2,1,0,0,1,21
0,4,4,4,2,0,1,4,0,1,0,4,1,0,4,29
0,2,1,4,0,0,0,4,0,2,4,1,0,4,4,26
1,1,2,0,1,2,1,1,0,1,2,2,1,2,0,17
2,1,2,4,0,0,0,0,1,4,2,4,1,0,1,22
0,1,2,0,2,0,1,1,0,0,1,4,2,0,0,14
0,1,4,4,0,1,0,4,4,2,0,4,0,1,1,26
0,1,1,1,4,2,1,4,1,0,0,1,0,4,4,24
1,4,0,2,1,4,4,2,0,1,0,0,0,0,0,19
0,2,0,4,4,0,4,2,1,0,2,0,2,0,4,25
2,0,4,2,2,1,0,4,4,0,0,4,0,2,2,27
4,4,0,0,0,4,0,4,2,4,2,4,4,2,1,35
1,4,0,4,0,4,0,0,1,2,4,0,0,4,0,24
2,4,0,0,0,4,1,2,0,0,0,4,4,2,0,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
