MotivaciÃ³n,RelajaciÃ³n,SatisfacciÃ³n,Aprendizaje,EstrÃ©s,Ayuda,Seguridad,Actividad FÃ­sica,Amistad/Familia,Gratitud,Pasatiempos,InspiraciÃ³n,ReflexiÃ³n,ComunicaciÃ³n,Creatividad,Color
5,3,2,5,5,4,2,1,3,5,4,4,4,1,1,Azul
2,4,3,5,3,2,3,4,3,3,2,4,3,3,5,Azul
3,4,2,5,3,1,4,1,1,5,5,1,2,2,3,Azul
3,1,2,3,2,5,4,2,4,2,5,1,5,3,4,Azul
5,2,2,1,5,5,3,3,2,2,4,5,2,4,2,Amarillo
5,5,2,2,5,3,5,1,4,1,2,1,5,3,5,Negro
5,4,5,3,1,3,5,3,2,2,3,4,5,4,5,Rojo
4,4,3,2,5,3,1,2,5,4,2,5,1,4,2,Rojo
4,2,2,3,4,2,3,5,2,5,4,5,3,2,2,Rojo
4,4,3,2,5,3,1,2,5,4,2,5,1,4,2,Rojo
4,2,2,3,4,2,3,5,2,5,4,5,3,2,2,Amarillo
4,4,3,2,5,3,1,2,5,4,2,5,1,4,2,Negro
4,2,2,3,4,2,3,5,2,5,4,5,3,2,2,Rojo
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Azul
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Verde
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Rojo
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Verde
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Amarillo
